race,ideology
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
